TIME, MESSAGE
20191215004318, StartLogging
20191215004319, RBtnDown
20191215004319, RBtnDown
20191215004323, RBtnDown
20191215004324, KeyDown
20191215004324, LBtnDown
20191215004326, DRAW_TRIMSTROKE
20191215004326, RBtnDown
20191215004327, RBtnDown
20191215004328, KeyDown
20191215004328, LBtnDown
20191215004330, DRAW_TRIMSTROKE
20191215004330, RBtnDown
20191215004331, RBtnDown
20191215004332, RBtnDown
20191215004332, MBtnDown
20191215004333, KeyDown
20191215004333, RBtnDown
20191215004334, RBtnDown
20191215004338, KeyDown
20191215004338, LBtnDown
20191215004340, DRAW_TRIMSTROKE
20191215004340, RBtnDown
20191215004342, KeyDown
20191215004342, LBtnDown
20191215004343, DRAW_TRIMSTROKE
20191215004343, RBtnDown
20191215004344, RBtnDown
20191215004345, KeyDown
20191215004346, LBtnDown
20191215004348, DRAW_TRIMSTROKE
20191215004348, RBtnDown
20191215004349, LBtnDown
20191215004349, RBtnDown
20191215004349, KeyDown
20191215004349, LBtnDown
20191215004351, DRAW_TRIMSTROKE
20191215004351, RBtnDown
20191215004353, RBtnDown
20191215004354, RBtnDown
20191215004355, RBtnDown
20191215004355, RBtnDown
20191215004356, LBtnDown
20191215004356, RBtnDown
20191215004356, KeyDown
20191215004356, LBtnDown
20191215004358, DRAW_TRIMSTROKE
20191215004358, RBtnDown
20191215004400, KeyDown
20191215004400, KeyDown
20191215004400, KeyDown
20191215004400, KeyDown
20191215004400, KeyDown
20191215004401, KeyDown
20191215004401, KeyDown
20191215004401, KeyDown
20191215004401, KeyDown
20191215004401, KeyDown
20191215004402, KeyDown
20191215004402, KeyDown
20191215004403, KeyDown
20191215004403, KeyDown
20191215004403, KeyDown
20191215004403, KeyDown
20191215004403, KeyDown
20191215004404, KeyDown
20191215004404, KeyDown
20191215004405, RBtnDown
20191215004405, KeyDown
20191215004405, LBtnDown
20191215004406, DRAW_TRIMSTROKE
20191215004408, KeyDown
20191215004408, KeyDown
20191215004409, KeyDown
20191215004409, KeyDown
20191215004409, KeyDown
20191215004409, KeyDown
20191215004409, KeyDown
20191215004410, KeyDown
20191215004410, KeyDown
20191215004410, KeyDown
20191215004410, KeyDown
20191215004410, KeyDown
20191215004411, KeyDown
20191215004411, KeyDown
20191215004411, KeyDown
20191215004411, KeyDown
20191215004411, KeyDown
20191215004411, KeyDown
20191215004411, KeyDown
20191215004412, RBtnDown
20191215004413, LBtnDown
20191215004414, RBtnDown
20191215004414, LBtnDown
20191215004414, RBtnDown
20191215004415, MBtnDown
20191215004415, RBtnDown
20191215004415, MBtnDown
20191215004416, LBtnDown
20191215004416, RBtnDown
20191215004417, KeyDown
20191215004418, LBtnDown
20191215004420, DRAW_TRIMSTROKE
20191215004420, KeyDown
20191215004420, LBtnDown
20191215004422, DRAW_TRIMSTROKE
20191215004422, KeyDown
20191215004422, LBtnDown
20191215004423, DRAW_TRIMSTROKE
20191215004423, RBtnDown
20191215004424, RBtnDown
20191215004424, RBtnDown
20191215004425, RBtnDown
20191215004427, RBtnDown
20191215004428, LBtnDown
20191215004428, RBtnDown
20191215004428, KeyDown
20191215004429, LBtnDown
20191215004433, DRAW_TRIMSTROKE
20191215004433, RBtnDown
20191215004435, RBtnDown
20191215004436, LBtnDown
20191215004436, RBtnDown
20191215004436, LBtnDown
20191215004437, RBtnDown
20191215004437, RBtnDown
20191215004438, KeyDown
20191215004438, LBtnDown
20191215004441, DRAW_TRIMSTROKE
20191215004441, RBtnDown
20191215004442, KeyDown
20191215004443, LBtnDown
20191215004444, DRAW_TRIMSTROKE
20191215004445, RBtnDown
20191215004446, KeyDown
20191215004447, LBtnDown
20191215004448, DRAW_TRIMSTROKE
20191215004448, KeyDown
20191215004448, LBtnDown
20191215004449, DRAW_TRIMSTROKE
20191215004449, RBtnDown
20191215004451, LBtnDown
20191215004451, RBtnDown
20191215004452, MBtnDown
20191215004453, LBtnDown
20191215004453, RBtnDown
20191215004454, KeyDown
20191215004454, LBtnDown
20191215004456, DRAW_TRIMSTROKE
20191215004456, RBtnDown
20191215004458, MBtnDown
20191215004458, RBtnDown
20191215004458, KeyDown
20191215004459, RBtnDown
20191215004459, KeyDown
20191215004500, LBtnDown
20191215004502, DRAW_TRIMSTROKE
20191215004502, RBtnDown
20191215004503, KeyDown
20191215004504, LBtnDown
20191215004505, DRAW_TRIMSTROKE
20191215004506, RBtnDown
20191215004507, RBtnDown
20191215004508, RBtnDown
20191215004508, KeyDown
20191215004508, LBtnDown
20191215004510, DRAW_TRIMSTROKE
20191215004510, RBtnDown
20191215004511, RBtnDown
20191215004513, KeyDown
20191215004513, LBtnDown
20191215004516, DRAW_TRIMSTROKE
20191215004516, RBtnDown
20191215004518, KeyDown
20191215004518, LBtnDown
20191215004519, DRAW_TRIMSTROKE
20191215004520, RBtnDown
20191215004520, KeyDown
20191215004521, LBtnDown
20191215004522, DRAW_TRIMSTROKE
20191215004522, RBtnDown
20191215004523, LBtnDown
20191215004524, RBtnDown
20191215004524, RBtnDown
20191215004525, KeyDown
20191215004525, LBtnDown
20191215004527, DRAW_TRIMSTROKE
20191215004527, RBtnDown
20191215004529, KeyDown
20191215004529, LBtnDown
20191215004530, DRAW_TRIMSTROKE
20191215004531, RBtnDown
20191215004531, LBtnDown
20191215004532, KeyDown
20191215004532, LBtnDown
20191215004533, DRAW_TRIMSTROKE
20191215004534, RBtnDown
20191215004535, MBtnDown
20191215004535, RBtnDown
20191215004536, LBtnDown
20191215004536, RBtnDown
